Graduation Year,Debt at Graduation per Student,Debt at Graduation in May 2021 Dollars
,,
2021,"$31,100 ","$31,100 "
2020,"$30,000 ","$31,500 "
2019,"$29,500 ","$30,975 "
2018,"$29,200 ","$31,244 "
2017,"$28,650 ","$31,515 "
2016,"$28,525 ","$31,948 "
2015,"$28,400 ","$32,092 "
2014,"$28,650 ","$32,375 "
2013,"$28,900 ","$33,524 "
2012,"$29,400 ","$34,398 "
2011,"$25,300 ","$30,107 "
2010,"$24,200 ","$29,766 "
2009,"$23,000 ","$28,980 "
2008,"$23,300 ","$28,892 "
2007,"$28,500 ","$36,765 "
2006,"$26,900 ","$35,777 "
2005,"$20,000 ","$27,600 "
2004,"$18,650 ","$26,483 "
2003,"$16,070 ","$23,623 "
2002,"$18,870 ","$28,305 "
2001,"$16,900 ","$25,519 "
2000,"$17,350 ","$27,240 "
1999,"$15,510 ","$25,126 "
1998,"$14,590 ","$24,074 "
1997,"$13,670 ","$22,966 "
1996,"$12,750 ","$21,930 "
1995,"$12,600 ","$22,302 "
1990,"$6,760 ","$14,061 "
1985,"$5,200 ","$13,052 "
1980,"$3,900 ","$12,831 "
1975,"$1,000 ","$5,060 "
1970,"$1,070 ","$7,458 "
